City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Alghero,IT,2022-08-17 15:15:29,40.5589,8.3181,307.2,59,0,8.75
59,Riyadh,SA,2022-08-17 15:12:12,24.6877,46.7219,314.23,7,99,5.73
60,Grindavik,IS,2022-08-17 15:15:30,63.8424,-22.4338,285.41,87,75,8.23
61,Barentu,ER,2022-08-17 15:15:31,15.1139,37.5928,300.43,60,65,4.03
62,Sete,FR,2022-08-17 15:15:32,43.4018,3.6966,300.07,70,89,0.74
63,Salvador,SV,2022-08-17 15:15:33,13.8333,-88.9167,296.37,89,84,0.37
64,Spasskoye,RU,2022-08-17 15:15:33,44.6108,132.7969,290.64,81,0,2.82
65,Victoria,HK,2022-08-17 15:13:16,22.2855,114.1577,301.66,88,25,3.58
66,Cape Town,ZA,2022-08-17 15:12:05,-33.9258,18.4232,288.36,85,40,4.92
67,Potiskum,NG,2022-08-17 15:15:35,11.7091,11.0694,301.84,61,96,2.9
68,Castro,BR,2022-08-17 15:15:36,-24.7911,-50.0119,288.73,96,100,4.65
69,Mahebourg,MU,2022-08-17 15:15:37,-20.4081,57.7,294.4,83,20,1.54
70,Mafeteng,LS,2022-08-17 15:15:37,-29.823,27.2374,289.74,19,100,5.41
71,Ponta Delgada,PT,2022-08-17 15:15:38,37.7333,-25.6667,297.55,53,20,6.17
72,Lasa,IT,2022-08-17 15:15:39,46.6166,10.7002,299.65,65,100,2.75
73,Port Alfred,ZA,2022-08-17 15:15:39,-33.5906,26.891,291.03,59,0,0.89
74,Lagoa,PT,2022-08-17 15:15:40,39.05,-27.9833,294.72,62,33,4.24
75,Zemio,CF,2022-08-17 15:15:40,5.0314,25.1361,298.41,82,100,1.08
76,Ereymentau,KZ,2022-08-17 15:15:41,51.6199,73.1033,285.87,53,100,1.62
77,Unai,BR,2022-08-17 15:15:42,-16.3575,-46.9061,304.41,23,7,3.87
78,Laguna,US,2022-08-17 15:15:42,38.421,-121.4238,303.75,45,0,2.57
79,Upington,ZA,2022-08-17 15:15:43,-28.4478,21.2561,297.36,12,0,4.63
80,Qaanaaq,GL,2022-08-17 15:15:43,77.484,-69.3632,278.15,63,67,0.74
81,Chateauroux,FR,2022-08-17 15:15:44,46.8167,1.7,299.15,47,75,4.63
82,Varadero,CU,2022-08-17 15:15:45,23.1536,-81.2514,304.57,70,96,0.69
83,Buraydah,SA,2022-08-17 15:14:56,26.326,43.975,316.4,7,100,6.66
84,Vila Velha,BR,2022-08-17 15:15:46,-20.3297,-40.2925,299.12,67,40,8.23
85,Kilindoni,TZ,2022-08-17 15:15:46,-7.9139,39.6668,297.59,75,2,5.29
86,Strathpeffer,GB,2022-08-17 15:15:47,57.588,-4.5382,288.77,67,91,1.75
87,Tessalit,ML,2022-08-17 15:15:47,20.1986,1.0114,311.2,21,60,4.46
88,Zonguldak,TR,2022-08-17 15:15:48,41.25,31.8333,299.48,44,0,2.11
89,Montlucon,FR,2022-08-17 15:15:49,46.3333,2.6,296.87,64,82,2.44
90,Iqaluit,CA,2022-08-17 15:15:49,63.7506,-68.5145,278.0,93,100,1.54
91,Teguise,ES,2022-08-17 15:15:50,29.0605,-13.564,299.27,51,40,12.35
92,Sakakah,SA,2022-08-17 15:16:50,29.9697,40.2064,316.91,11,3,0.96
93,Luderitz,NA,2022-08-17 15:16:51,-26.6481,15.1594,289.09,69,3,4.17
94,Upernavik,GL,2022-08-17 15:16:52,72.7868,-56.1549,278.66,86,100,1.64
95,Punta Arenas,CL,2022-08-17 15:16:52,-53.15,-70.9167,276.21,75,0,5.66
96,Tahoua,NE,2022-08-17 15:16:53,14.8888,5.2692,302.14,65,75,2.06
97,Mahanoro,MG,2022-08-17 15:16:53,-19.9,48.8,294.04,84,0,1.7
98,Mbinga,TZ,2022-08-17 15:16:54,-10.9333,35.0167,293.1,53,50,1.96
99,Saint-Augustin,CA,2022-08-17 15:16:55,51.226,-58.6502,296.44,48,10,3.27
100,Camocim,BR,2022-08-17 15:16:55,-2.9022,-40.8411,305.99,41,2,3.45
101,Capreol,CA,2022-08-17 15:16:56,46.706,-80.9225,296.41,60,0,3.09
102,Cartagena,CO,2022-08-17 15:13:39,10.3997,-75.5144,304.94,70,20,1.54
103,Plettenberg Bay,ZA,2022-08-17 15:16:57,-34.0527,23.3716,289.81,66,64,6.75
104,Sompeta,IN,2022-08-17 15:16:58,18.9333,84.6,302.23,79,96,3.62
105,Sortavala,RU,2022-08-17 15:16:58,61.7053,30.6918,293.42,81,82,3.68
106,Pisco,PE,2022-08-17 15:16:59,-13.7,-76.2167,290.18,72,100,2.06
107,Olafsvik,IS,2022-08-17 15:16:59,64.8945,-23.7142,282.73,85,100,13.94
108,Kalanwali,IN,2022-08-17 15:17:00,29.85,74.95,302.59,68,96,2.93
109,Paratinga,BR,2022-08-17 15:17:01,-12.6906,-43.1842,304.79,28,0,2.26
110,San Cristobal,VE,2022-08-17 15:17:01,7.7669,-72.225,299.25,44,1,3.51
111,Anapolis,BR,2022-08-17 15:17:02,-16.3267,-48.9528,303.41,28,0,3.09
112,Caraz,PE,2022-08-17 15:17:03,-9.0486,-77.81,294.72,39,29,2.17
113,Comodoro Rivadavia,AR,2022-08-17 15:15:01,-45.8667,-67.5,280.07,49,20,7.2
114,Tarnobrzeg,PL,2022-08-17 15:17:04,50.573,21.6794,302.73,54,33,3.33
115,Aripuana,BR,2022-08-17 15:17:04,-9.1667,-60.6333,307.57,38,1,1.74
116,Adjumani,UG,2022-08-17 15:17:05,3.3779,31.7909,296.85,87,100,0.9
117,Trairi,BR,2022-08-17 15:15:13,-3.2778,-39.2689,304.26,41,19,7.48
118,Poli,TZ,2022-08-17 15:17:07,-3.3333,36.8,292.96,41,97,3.89
119,Pangody,RU,2022-08-17 15:17:08,65.85,74.4859,280.54,93,95,5.16
120,Tete,MZ,2022-08-17 15:17:08,-16.1564,33.5867,304.2,37,20,3.6
121,Cockburn Town,TC,2022-08-17 15:14:54,21.4612,-71.1419,303.13,70,40,5.14
122,Bedesa,ET,2022-08-17 15:17:10,8.9,40.7833,294.14,68,58,4.34
123,Ponta Do Sol,PT,2022-08-17 15:17:10,32.6667,-17.1,297.04,70,22,2.57
124,Cividale Del Friuli,IT,2022-08-17 15:17:11,46.0931,13.4275,305.57,51,53,2.9
125,Alvorada,BR,2022-08-17 15:12:24,-12.48,-49.1247,307.86,19,5,3.61
126,Korla,CN,2022-08-17 15:17:12,41.7597,86.1469,293.18,64,2,4.87
127,Ust-Kan,RU,2022-08-17 15:17:13,50.9276,84.761,279.42,65,99,2.15
128,Izhma,RU,2022-08-17 15:17:13,65.0083,53.9113,289.61,58,100,1.77
129,Kasongo-Lunda,CD,2022-08-17 15:17:14,-6.4667,16.8167,307.97,23,42,2.47
130,Skibbereen,IE,2022-08-17 15:17:15,51.55,-9.2667,289.88,54,92,5.42
131,South Bend,US,2022-08-17 15:14:08,41.6834,-86.25,297.32,72,0,2.57
132,Taltal,CL,2022-08-17 15:17:16,-25.4,-70.4833,287.63,75,15,1.18
133,Margate,GB,2022-08-17 15:17:17,51.3813,1.3862,294.65,82,100,1.34
134,Alpatovo,RU,2022-08-17 15:17:17,43.7028,45.2415,310.61,24,0,3.64
135,Souillac,MU,2022-08-17 15:17:18,-20.5167,57.5167,294.36,83,20,1.54
136,Maturin,VE,2022-08-17 15:17:19,9.75,-63.1767,304.6,53,18,3.45
137,Roald,NO,2022-08-17 15:17:19,62.5833,6.1333,286.99,76,75,7.2
138,Tabory,RU,2022-08-17 15:17:20,58.5198,64.5495,281.96,87,96,2.17
139,Maldonado,UY,2022-08-17 15:13:25,-34.6667,-54.9167,289.39,57,100,4.67
140,Tasiilaq,GL,2022-08-17 15:18:21,65.6145,-37.6368,284.24,77,100,2.54
141,Kongolo,CD,2022-08-17 15:18:22,-5.3833,27.0,305.3,31,33,2.66
142,Maxixe,MZ,2022-08-17 15:18:22,-23.8597,35.3472,294.99,69,3,7.71
143,Knysna,ZA,2022-08-17 15:18:23,-34.0363,23.0471,290.0,67,54,6.15
144,Yanaul,RU,2022-08-17 15:18:24,56.2719,54.9309,292.99,54,9,2.93
145,Lebu,CL,2022-08-17 15:18:24,-37.6167,-73.65,281.93,73,100,5.0
146,Beloha,MG,2022-08-17 15:18:25,-25.1667,45.05,293.58,63,2,5.01
147,Ostrovnoy,RU,2022-08-17 15:18:25,68.0531,39.5131,296.14,66,84,7.41
148,Mumbwa,ZM,2022-08-17 15:18:26,-14.9783,27.0619,301.04,16,3,3.02
149,Rovereto,IT,2022-08-17 15:18:27,45.8896,11.0387,305.83,43,98,3.13
150,Balkhash,KZ,2022-08-17 15:18:27,46.844,74.9804,293.94,39,0,4.1
151,Tazovskiy,RU,2022-08-17 15:18:28,67.4667,78.7,285.52,70,92,5.0
152,The Valley,AI,2022-08-17 15:18:29,18.217,-63.0578,303.23,74,20,4.63
153,Requena,ES,2022-08-17 15:18:29,39.4883,-1.1004,303.13,14,0,6.78
154,Morbegno,IT,2022-08-17 15:18:30,46.1383,9.57,303.37,60,100,2.53
155,Bom Jesus,BR,2022-08-17 15:15:48,-9.0744,-44.3586,307.18,24,2,4.42
156,Shetpe,KZ,2022-08-17 15:18:31,44.1667,52.1167,309.16,13,0,5.36
157,Arcachon,FR,2022-08-17 15:18:32,44.5875,-1.0519,297.18,57,40,4.63
158,Le Port,RE,2022-08-17 15:18:32,-20.9373,55.2919,295.15,73,13,1.79
159,Nouakchott,MR,2022-08-17 15:18:33,18.0858,-15.9785,304.11,74,14,7.58
160,Dubai,AE,2022-08-17 15:13:57,25.2582,55.3047,307.28,60,63,2.68
161,Mitsamiouli,KM,2022-08-17 15:18:34,-11.3847,43.2844,297.46,78,68,2.88
162,Sao Joao Da Barra,BR,2022-08-17 15:18:35,-21.6403,-41.0511,301.2,62,2,9.73
163,Gainesville,US,2022-08-17 15:16:14,29.6516,-82.3248,305.94,69,0,0.45
164,Sao Filipe,CV,2022-08-17 15:18:36,14.8961,-24.4956,299.64,74,84,7.3
165,Vila Franca Do Campo,PT,2022-08-17 15:18:37,37.7167,-25.4333,297.38,61,91,3.69
166,Ambilobe,MG,2022-08-17 15:18:37,-13.2,49.05,297.16,66,23,0.82
