,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
541,Monrovia,LR,75.57800000000006,overcast clouds,6.3005,-10.7969,Sunset Inn
545,Nieuw Amsterdam,SR,81.01400000000004,overcast clouds,5.8833,-55.0833,Hotel Stardust
547,Dosso,NE,75.97400000000002,scattered clouds,13.049,3.1937,Hotel Toubal
550,Bennington,US,77.97200000000004,broken clouds,42.8781,-73.1968,Best Western Bennington
552,Bandar-E Lengeh,IR,89.708,clear sky,26.5579,54.8807,کافی نت پارس
553,Najran,SA,80.76200000000006,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
554,Weligama,LK,77.81000000000009,overcast clouds,5.9667,80.4167,Weligama Bay Resort
555,Kollo,NE,77.108,broken clouds,13.3043,2.339,
564,Kulhudhuffushi,MV,81.842,overcast clouds,6.6221,73.07,Haajy Guest House 1
566,Pedernales,DO,83.37200000000004,scattered clouds,18.0384,-71.744,Hotel Costa Marina
567,Ensley,US,84.57800000000006,clear sky,30.5188,-87.2728,Holiday Inn Express & Suites Pensacola W I-10
572,Ouallam,NE,80.24000000000002,broken clouds,14.3188,2.0866,
574,Iralaya,HN,80.09600000000006,overcast clouds,15.0,-83.2333,Iglesia morava renovada
575,Zenzeli,RU,75.93800000000005,overcast clouds,45.9241,47.0474,
584,Silifke,TR,80.34800000000003,clear sky,36.3778,33.9344,Ayatekla Hotel
595,George Town,MY,76.94600000000005,scattered clouds,5.4112,100.3354,Cititel Penang
599,Trincomalee,LK,80.45600000000003,broken clouds,8.5711,81.2335,Welcombe Hotel
600,Nalut,LY,79.32200000000003,clear sky,30.3333,10.85,
601,San Andres,CO,82.31000000000009,few clouds,12.5847,-81.7006,Hotel Arena Blanca
602,Santa Rosa,PH,83.084,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
604,Taguatinga,BR,79.97000000000006,scattered clouds,-12.3857,-46.5711,
607,Altamira,BR,83.39000000000001,overcast clouds,-3.2033,-52.2064,Requinte Hotel
609,Conceicao Do Araguaia,BR,77.91800000000009,scattered clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
614,Qandala,SO,89.65400000000005,broken clouds,11.472,49.8728,
621,Macapa,BR,76.08200000000002,moderate rain,0.0389,-51.0664,Atalanta Hotel
622,Kharan,PK,86.37800000000007,overcast clouds,28.5833,65.4167,Dil Aram Bangla
625,Bardiyah,LY,79.01600000000002,clear sky,31.7561,25.0865,بورتو بردية
632,Kathu,TH,86.75600000000003,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
637,Dogondoutchi,NE,78.8180000000001,overcast clouds,13.6393,4.0287,Hôtel Alheri Maison Alheri
640,Palmas Bellas,PA,81.24800000000002,overcast clouds,9.2319,-80.0867,Antigua Residencia Galván
641,Manicore,BR,80.40200000000007,overcast clouds,-5.8092,-61.3003,Hotel Durval
646,Tifton,US,84.12800000000007,broken clouds,31.4505,-83.5085,Hilton Garden Inn Tifton
659,Huntington,US,80.87000000000006,scattered clouds,38.4193,-82.4452,Ramada Limited Huntington
663,Chakia,IN,80.834,broken clouds,26.4167,85.05,Adarsh home 🏠
669,Minab,IR,87.60200000000009,clear sky,27.1467,57.0801,Bam campground
670,Manacapuru,BR,82.41800000000009,overcast clouds,-3.2997,-60.6206,Novo Hotel
673,Darnah,LY,79.592,clear sky,32.767,22.6367,فندق الفردوس
675,Gibara,CU,85.316,few clouds,21.1097,-76.1317,Sol y Mar
679,Baghdad,IQ,87.7100000000001,clear sky,33.3406,44.4009,Baghdad Hotel
688,Valdez,EC,76.69400000000007,overcast clouds,1.2492,-78.9831,Casa Alquiler Doña Yenner y Don Wacho
691,Jamtara,IN,76.24400000000009,broken clouds,23.95,86.8,SM LODGE AND ROOMS
692,Palaikastron,GR,79.21400000000003,clear sky,35.2,26.25,Marina Village
695,Samana,DO,79.01600000000002,overcast clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
696,Bonfim,BR,81.35600000000002,light rain,3.0833,-59.95,
700,Yining,CN,85.65800000000002,overcast clouds,29.0361,114.5636,Xiushui Hotel
701,Lubao,PH,78.44000000000003,overcast clouds,14.9167,120.55,Hacienda Gracia
702,Atlantic City,US,77.18000000000004,clear sky,39.3643,-74.4229,Courtyard by Marriott Atlantic City Beach Block
